Priority,Title,BMI Title Number,ISWC,BMI Status,Writers,Publishers,Action Required
HIGH,TOP SHELF SAME HOOD FEAT HARDWORK JIG X SADA BABY,23567394,,Reconciled,"MATTHEW THOMAS (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%), SMITH DARRIUS LEANDO (MR) (50.00%), JIG HARDWORK (50.00%)",SONY/ATV SONGS LLC (25.00%),Register with MLC using publisher admin or direct registration
HIGH,SADA BABY SMO OFFICIAL MUSIC VIDEO,24881539,T3121356438,Reconciled,SORRELL CASADA AARON (SP ACCT) (100.00%),LACED VISUALS (100.00%),Register with MLC using publisher admin or direct registration
HIGH,YOU KNOW WHAT IT IS,25272849,T9224092028,Reconciled,"SORRELL CASADA AARON (SP ACCT) (10.00%), PATTERSON JALEN (MR) (50.00%), SUMLER VICTOR ANTOINE MR (80.00%)","SONY/ATV SONGS LLC (10.00%), STUNTMAN BEATZ MUSIC (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,SADA BABY STACY PROD BY J PRINCE,25870290,T3121356085,Reconciled,"JOHNSON NEKEYAS CORTEZ (SP ACCT) (100.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)",IPM SONGS (50.00%),Register with MLC using publisher admin or direct registration
HIGH,FAST MONEY SKUBA,26645528,T9238168337,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), MATHIS ANTHONY O NEAL (MR) (50.00%)","SONGS OF UNIVERSAL INC (37.50%), SONY/ATV SONGS LLC (50.00%), SONGS OF ROC NATION MUSIC (12.50%)",Register with MLC using publisher admin or direct registration
HIGH,ROLL ON,27063088,,Reconciled,"COAL CASH BLAC (25.00%), MAN TOODA (50.00%), KANE BWA (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%)","SONY/ATV SONGS LLC (25.00%), IPM SONGS (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,PLANET OF APES SADA BABY X FMB DZ,28033282,T3121355957,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), WASHINGTON DENZEL THOMAS (50.00%)","EMPIRE STRIKES FIRST (50.00%), LACED VISUALS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,WHY ME,28283012,T3121355822,Reconciled,"BLACK MARCUS COLEMAN (MR) (50.00%), SORRELL CASADA AARON (SP ACCT) (5.00%), BELL NICHOLAS D (90.00%)","SONY/ATV SONGS LLC (50.00%), IPM SONGS (5.00%)",Register with MLC using publisher admin or direct registration
HIGH,MY DAWG,28760119,T3121355606,Reconciled,"HELLUVA (20.00%), SORRELL CASADA AARON (SP ACCT) (45.00%), THOMAS KYREACE MICHAEL MR (90.00%)",IPM SONGS (45.00%),Register with MLC using publisher admin or direct registration
HIGH,BONNIE AND BLYDE,29653381,T9281549448,Reconciled,"MC CURTIS MARTIN RAFEAL (SP ACCT) (40.00%), SORRELL CASADA AARON (SP ACCT) (60.00%)","WARNER-TAMERLANE PUBLISHING CORP (40.00%), SONY/ATV SONGS LLC (60.00%)",Register with MLC using publisher admin or direct registration
HIGH,SADA BABY SMOKE WITH ME PROD BY LIL RON,30392366,T3121351422,Reconciled,"SORRELL CASADA AARON (SP ACCT) (12.50%), LIL RON (175.00%)",IPM SONGS (12.50%),Register with MLC using publisher admin or direct registration
HIGH,JUST MY LUCK,31367876,T9296927805,Reconciled,"PATTERSON TIMOTHY P (50.00%), MC CURTIS MARTIN RAFEAL (SP ACCT) (50.00%), SORRELL CASADA AARON (SP ACCT) (25.00%)","WARNER-TAMERLANE PUBLISHING CORP (50.00%), SONY/ATV SONGS LLC (25.00%)",Register with MLC using publisher admin or direct registration
HIGH,WAKA SADA,34084961,T3121346478,Reconciled,"COAL CASH BLAC (50.00%), MALPHURS JUAQUIN (50.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)",SONY/ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
HIGH,SHANG TSUNG,38466267,T3051862836,Reconciled,"COAL CASH BLAC (50.00%), SORRELL CASADA AARON (SP ACCT) (50.00%)","SONY/ATV SONGS LLC (50.00%), IPM SONGS (50.00%)",Register with MLC using publisher admin or direct registration
HIGH,TOP SHOTTA,40043352,T9297836750,Reconciled,"MCKINNEY REGINALD CHRISTOPHER (50.00%), BRADFORD GARY STEVEN (25.00%), SORRELL CASADA AARON (SP ACCT) (25.00%)","SONY/ATV SONGS LLC (25.00%), TIMELESS SOUND ENTERTAINMENT (50.00%), WORKS OF IPC (25.00%), MS HELEN BOY MUSIC (0.00%)",Register with MLC using publisher admin or direct registration
HIGH,OOOOH,41230905,,Reconciled,"COAL CASH BLAC (50.00%), BABY SKILLA (40.00%), JUAN EASTSIDE (20.00%), SORRELL CASADA AARON (SP ACCT) (20.00%)","SONY/ATV SONGS LLC (50.00%), IPM SONGS (20.00%)",Register with MLC using publisher admin or direct registration
HIGH,TRIPLE THREAT MATCH,41389699,T9312510217,Reconciled,"SORRELL CASADA AARON (SP ACCT) (50.00%), GORDON RAYSHAWN LAMONT (MR) (100.00%)",SONY/ATV SONGS LLC (50.00%),Register with MLC using publisher admin or direct registration
