Priority,Title,MLC Song Code,ISWC,Action Required
HIGH,TRIPLE THREAT MARCH,TC5K51,T3014130071,Register with BMI using IP# 00816076637
HIGH,BIG STEPPA,BB7HFB,T3039983756,Register with BMI using IP# 00816076637
HIGH,LITTLE WHILE (FEAT. BIG SEAN & HIT-BOY),LA1FCU,T3073103450,Register with BMI using IP# 00816076637
HIGH,IT'S HARD NOT TO,IC706A,T3100506687,Register with BMI using IP# 00816076637
HIGH,BRACKIN THRU THE GHETTO,BC99TT,T9321891332,Register with BMI using IP# 00816076637
HIGH,BALLIN,BC344N,T3233652983,Register with BMI using IP# 00816076637
HIGH,GETTING OFF,GE7MER,T9317348644,Register with BMI using IP# 00816076637
HIGH,THE WHOOP TESTAMENT,TV3QPE,T3260196967,Register with BMI using IP# 00816076637
HIGH,MESSAGE,MR6PB5,T9223197895,Register with BMI using IP# 00816076637
HIGH,YESTERDAY,YP4T4U,T9317301647,Register with BMI using IP# 00816076637
HIGH,SAYNOMO,S72E2B,T3093074030,Register with BMI using IP# 00816076637
MEDIUM,PIMP NAMED DRIP DRAT,PF14U9,,Register with BMI using IP# 00816076637
MEDIUM,DO OR DIE,DA4C4A,,Register with BMI using IP# 00816076637
MEDIUM,OOOH,OD31DF,,Register with BMI using IP# 00816076637
MEDIUM,MY PAPER,MC10JY,,Register with BMI using IP# 00816076637
MEDIUM,YOU KNOW IT,YE022C,,Register with BMI using IP# 00816076637
MEDIUM,4530,4A2RKY,,Register with BMI using IP# 00816076637
MEDIUM,SLIDE ON,SA04HF,,Register with BMI using IP# 00816076637
MEDIUM,THE WORKOUT,TA4ESY,,Register with BMI using IP# 00816076637
MEDIUM,2 FREAKS,2D9OQJ,,Register with BMI using IP# 00816076637
MEDIUM,HEAT KHEKK,HB94NZ,,Register with BMI using IP# 00816076637
MEDIUM,QUIT KRYING,QB1IY8,,Register with BMI using IP# 00816076637
MEDIUM,BIBLE STUDY,BC96E6,,Register with BMI using IP# 00816076637
MEDIUM,PLAYERNATION,PJ38PO,,Register with BMI using IP# 00816076637
MEDIUM,UNKLE TJ,UA69P5,,Register with BMI using IP# 00816076637
MEDIUM,THE INTERVENTION,TA6J4C,,Register with BMI using IP# 00816076637
MEDIUM,FREEZE TAG,FI19X7,,Register with BMI using IP# 00816076637
MEDIUM,KHOPPA KHOPPA,KE5GJ3,,Register with BMI using IP# 00816076637
MEDIUM,BIG EASTSIDE,BD0DPQ,,Register with BMI using IP# 00816076637
MEDIUM,DEVIN BOOKER (FEAT. SADA BABY),DB8ENA,,Register with BMI using IP# 00816076637
MEDIUM,MULTIVERSE,MG6UEE,,Register with BMI using IP# 00816076637
MEDIUM,GHETTO CHAMPAGNE,GD6XMX,,Register with BMI using IP# 00816076637
MEDIUM,ODELL,OC16OP,,Register with BMI using IP# 00816076637
MEDIUM,EXTRA,EC61FQ,,Register with BMI using IP# 00816076637
MEDIUM,JACKIE MOON (FEAT. SADA BABY),JC68OB,,Register with BMI using IP# 00816076637
MEDIUM,THROW IT BACK,TB4RN2,,Register with BMI using IP# 00816076637
MEDIUM,WIT IT,WC8HEZ,,Register with BMI using IP# 00816076637
MEDIUM,SUPLEX,S85UYW,,Register with BMI using IP# 00816076637
