Priority,Gap Type,ISRC,Title,Value Tier,In BMI,In SX,BMI Details,SX Details,Action Required
CRITICAL,TRIPLE GAP,US39N2000249,OUTSIDE (FEAT. TRAP MANNY),$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,QZLB82000002,"2 HANDS ICEWEAR VEZZO,",$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,QMEZE1832178,ROADSIDE ASSISTANCE,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,USUYG1203652,SKATE LAND,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCACR1605231,STACY,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADK1731599,FREE 80S,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,US39N2000249,OUTSIDE (FEAT. TRAP MANNY),$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADJ1706276,SMOKIN ACES (FEAT. ASHLEY SORRELL),$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,AUMEV2305924,SHONUFF,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,QZCSD1886681,,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADK1731599,FREE 80S SADABABY,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,ZZOPM2002777,KOURTSIDE,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADI1758623,NORFSIDE EASTSIDE (FEAT. QUE) SADABABY,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADI1758623,NORFSIDE EASTSIDE (FEAT. QUE),$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADJ1706423,PERCOSEX SADABABY,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,CH7812537082,BLOOD KRISTIE,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADJ1706269,DEATH ROW,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,QZAHP1706730,KODAK BLACK & PLIES - TOO MUCH MONEY,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,CH7812537183,NO BAP,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,USUYG1136616,"DEMONS (FEAT. SHRED GANG MONE, SHRED GANG STRAP & EASTSIDE REUP)",$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCADJ1706352,SHABOOYA (FEAT. MOTOWN TY),$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,CH7812542422,ROAD DOGG SKUBA JAMES,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,CH7812537079,KLIP HAMILTON,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
CRITICAL,TRIPLE GAP,TCACR1605231,STACY SADABABY,$$$$$,NO,NO,,,"Register with BMI first, then claim in MLC"
