Priority,Track Title,Label,Year,ASCAP,BMI,MLC,Status,Action Required
MEDIUM,007,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Bersatile,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Bloxk Day,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Bolumbus Day,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Helluva,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Katch If You Kan,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Kold Lil Choppa,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Lil Blood Nem,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Mega Tron,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Offensive Threat,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Paper Skuba,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Pony Down,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Skub N Skilla Show,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Tien N Yamcha,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
MEDIUM,Whoop N Wham,Independent,2019,NO,NO,NO,UNREGISTERED,"Register with BMI, SoundExchange, and MLC"
