Priority,Source,Gap Type,ISRC,Title,Value Tier,Distributor,Action Required
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",US39N2000249,OUTSIDE (FEAT. TRAP MANNY),$$$$$,US-based (Empire/Atlantic/etc.),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",QZLB82000002,"2 HANDS ICEWEAR VEZZO,",$$$$$,Unknown international,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",QMEZE1832178,ROADSIDE ASSISTANCE,$$$$$,Unknown publisher/international,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",USUYG1203652,SKATE LAND,$$$$$,US-based (Empire/Atlantic/etc.),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCACR1605231,STACY,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADK1731599,FREE 80S,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",US39N2000249,OUTSIDE (FEAT. TRAP MANNY),$$$$$,US-based (Empire/Atlantic/etc.),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADJ1706276,SMOKIN ACES (FEAT. ASHLEY SORRELL),$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",AUMEV2305924,SHONUFF,$$$$$,Unknown (possibly Australia?),"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",QZCSD1886681,,$$$$$,Unknown international,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",TCADK1731599,FREE 80S SADABABY,$$$$$,TuneCore,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
CRITICAL,RR-app Analysis,"Triple Gap (Not in BMI, SX, or MLC)",ZZOPM2002777,KOURTSIDE,$$$$$,Independent/Self-distributed,"1. Register with BMI (IP# 00816076637), 2. Register with SoundExchange, 3. Claim in MLC"
