TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
23567394,TOP SHELF SAME HOOD FEAT HARDWORK JIG X SADA BABY,P,O,SONY/ATV SONGS LLC,25.00,00187062752,"BMI     ",01/31/2017,WORKS REGISTRATION,"           ",Reconciled
23567394,TOP SHELF SAME HOOD FEAT HARDWORK JIG X SADA BABY,W," ",MATTHEW THOMAS,50.00,"           ","NA      ",01/31/2017,WORKS REGISTRATION,"           ",Reconciled
23567394,TOP SHELF SAME HOOD FEAT HARDWORK JIG X SADA BABY,W," ",SORRELL CASADA AARON (SP ACCT),25.00,00816076637,"BMI     ",01/31/2017,WORKS REGISTRATION,"           ",Reconciled
23567394,TOP SHELF SAME HOOD FEAT HARDWORK JIG X SADA BABY,W," ",SMITH DARRIUS LEANDO (MR),50.00,00717897493,"BMI     ",01/31/2017,WORKS REGISTRATION,"           ",Reconciled
23567394,TOP SHELF SAME HOOD FEAT HARDWORK JIG X SADA BABY,W," ",JIG HARDWORK,50.00,00718721143,"BMI     ",01/31/2017,WORKS REGISTRATION,"           ",Reconciled
24881539,SADA BABY SMO OFFICIAL MUSIC VIDEO,P,O,LACED VISUALS,100.00,00837716312,"BMI     ",07/24/2017,WORKS REGISTRATION,T3121356438,Reconciled
24881539,SADA BABY SMO OFFICIAL MUSIC VIDEO,W," ",SORRELL CASADA AARON (SP ACCT),100.00,00816076637,"BMI     ",07/24/2017,WORKS REGISTRATION,T3121356438,Reconciled
25272849,YOU KNOW WHAT IT IS,P,O,SONY/ATV SONGS LLC,10.00,00187062752,"BMI     ",09/04/2017,WORKS REGISTRATION,T9224092028,Reconciled
25272849,YOU KNOW WHAT IT IS,W," ",SORRELL CASADA AARON (SP ACCT),10.00,00816076637,"BMI     ",09/04/2017,WORKS REGISTRATION,T9224092028,Reconciled
25272849,YOU KNOW WHAT IT IS,P,O,STUNTMAN BEATZ MUSIC,50.00,01235205591,"BMI     ",09/04/2017,WORKS REGISTRATION,T9224092028,Reconciled
25272849,YOU KNOW WHAT IT IS,W," ",PATTERSON JALEN (MR),50.00,00662242460,"BMI     ",09/04/2017,WORKS REGISTRATION,T9224092028,Reconciled
25272849,YOU KNOW WHAT IT IS,W," ",SUMLER VICTOR ANTOINE MR,80.00,00841180067,"BMI     ",09/04/2017,WORKS REGISTRATION,T9224092028,Reconciled
25407366,FREAKY NIKE,P,O,IPM SONGS,25.00,01171442284,"BMI     ",10/02/2017,WORKS REGISTRATION,T3121356289,Pending Society Review
25407366,FREAKY NIKE,W," ",SORRELL CASADA AARON (SP ACCT),25.00,00816076637,"BMI     ",10/02/2017,WORKS REGISTRATION,T3121356289,Pending Society Review
25407366,FREAKY NIKE,W," ",WILSON ELIJAH NATHANIEL MR,75.00,00764742611,"BMI     ",10/02/2017,WORKS REGISTRATION,T3121356289,Pending Society Review
25407366,FREAKY NIKE,W," ",MARCUS AUSTIN ARAZ MR,75.00,00856244617,"BMI     ",10/02/2017,WORKS REGISTRATION,T3121356289,Pending Society Review
25431517,PEACOCK,P,O,IPM SONGS,50.00,01171442284,"BMI     ",10/03/2017,WORKS REGISTRATION,T3121356278,Reconciled
25431517,PEACOCK,P,O,BEATSTARS PUBLISHING WORLDWIDE,50.00,01031928579,"BMI     ",10/03/2017,WORKS REGISTRATION,T3121356278,Reconciled
25431517,PEACOCK,W," ",SORRELL CASADA AARON (SP ACCT),50.00,00816076637,"BMI     ",10/03/2017,WORKS REGISTRATION,T3121356278,Reconciled
25431517,PEACOCK,W," ",WOODWARD ANTHONY RASHARD,50.00,00764738303,"BMI     ",10/03/2017,WORKS REGISTRATION,T3121356278,Reconciled
25664799,REMY FROST FEAT SADA BABY PLAIN JANE,W," ",FROST REMY,50.00,"           ","NA      ",11/06/2017,WORKS REGISTRATION,"           ",Pending Society Review
25664799,REMY FROST FEAT SADA BABY PLAIN JANE,P,O,FRONTLINE PRODUCTIONS DETROIT,50.00,00864905897,"BMI     ",11/06/2017,WORKS REGISTRATION,"           ",Pending Society Review
25664799,REMY FROST FEAT SADA BABY PLAIN JANE,P,O,IPM SONGS,25.00,01171442284,"BMI     ",11/06/2017,WORKS REGISTRATION,"           ",Pending Society Review
25664799,REMY FROST FEAT SADA BABY PLAIN JANE,W," ",SORRELL CASADA AARON (SP ACCT),25.00,00816076637,"BMI     ",11/06/2017,WORKS REGISTRATION,"           ",Pending Society Review
25664799,REMY FROST FEAT SADA BABY PLAIN JANE,W," ",CLARK DEVON,25.00,00782186023,"BMI     ",11/06/2017,WORKS REGISTRATION,"           ",Pending Society Review
25664799,REMY FROST FEAT SADA BABY PLAIN JANE,W," ",JONES MARK KENT II MR,25.00,00799159862,"BMI     ",11/06/2017,WORKS REGISTRATION,"           ",Pending Society Review
25870290,SADA BABY STACY PROD BY J PRINCE,P,O,IPM SONGS,50.00,01171442284,"BMI     ",12/14/2017,WORKS REGISTRATION,T3121356085,Reconciled
25870290,SADA BABY STACY PROD BY J PRINCE,W," ",JOHNSON NEKEYAS CORTEZ (SP ACCT),100.00,00816855314,"BMI     ",12/14/2017,WORKS REGISTRATION,T3121356085,Reconciled
25870290,SADA BABY STACY PROD BY J PRINCE,W," ",SORRELL CASADA AARON (SP ACCT),50.00,00816076637,"BMI     ",12/14/2017,WORKS REGISTRATION,T3121356085,Reconciled
26010193,SKUBA SAUCE,P,O,DA REALEST SOUNDS PRODUCTIONS,50.00,00840336947,"BMI     ",01/17/2018,WORKS REGISTRATION,T9234351383,Reconciled
26010193,SKUBA SAUCE,P,O,IPM SONGS,50.00,01171442284,"BMI     ",01/17/2018,WORKS REGISTRATION,T9234351383,Reconciled
26010193,SKUBA SAUCE,W," ",SORRELL CASADA AARON (SP ACCT),50.00,00816076637,"BMI     ",01/17/2018,WORKS REGISTRATION,T9234351383,Reconciled
26010193,SKUBA SAUCE,W," ",DJ BROWN,50.00,00727788884,"BMI     ",01/17/2018,WORKS REGISTRATION,T9234351383,Reconciled
26645528,FAST MONEY SKUBA,P,O,SONGS OF UNIVERSAL INC,37.50,00353271280,"BMI     ",03/03/2018,WORKS REGISTRATION,T9238168337,Reconciled
26645528,FAST MONEY SKUBA,P,O,SONY/ATV SONGS LLC,50.00,00187062752,"BMI     ",03/03/2018,WORKS REGISTRATION,T9238168337,Reconciled
26645528,FAST MONEY SKUBA,P,O,SONGS OF ROC NATION MUSIC,12.50,00621218684,"BMI     ",03/03/2018,WORKS REGISTRATION,T9238168337,Reconciled
26645528,FAST MONEY SKUBA,W," ",SORRELL CASADA AARON (SP ACCT),50.00,00816076637,"BMI     ",03/03/2018,WORKS REGISTRATION,T9238168337,Reconciled
26645528,FAST MONEY SKUBA,W," ",MATHIS ANTHONY O NEAL (MR),50.00,00619283140,"BMI     ",03/03/2018,WORKS REGISTRATION,T9238168337,Reconciled
27063088,ROLL ON,P,O,SONY/ATV SONGS LLC,25.00,00187062752,"BMI     ",05/29/2018,WORKS REGISTRATION,"           ",Reconciled
27063088,ROLL ON,W," ",COAL CASH BLAC,25.00,00496776091,"BMI     ",05/29/2018,WORKS REGISTRATION,"           ",Reconciled
27063088,ROLL ON,P,O,IPM SONGS,25.00,01171442284,"BMI     ",05/29/2018,WORKS REGISTRATION,"           ",Reconciled
27063088,ROLL ON,W," ",MAN TOODA,50.00,"           ","NA      ",05/29/2018,WORKS REGISTRATION,"           ",Reconciled
27063088,ROLL ON,W," ",KANE BWA,50.00,"           ","NA      ",05/29/2018,WORKS REGISTRATION,"           ",Reconciled
