TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
41011829,BANDGANG JAVAR FT SADA BABY HOW,P,O,FRONTLINE PRODUCTIONS DETROIT,50.00,00864905897,"BMI     ",12/03/2019,WORKS REGISTRATION,T3236155270,Reconciled
41011829,BANDGANG JAVAR FT SADA BABY HOW,W," ",BAND GANG JAVAR,25.00,00386369412,"ASCAP   ",12/03/2019,WORKS REGISTRATION,T3236155270,Reconciled
41011829,BANDGANG JAVAR FT SADA BABY HOW,P,O,GREAT LAKE ENTERPRISE,25.00,00386369118,"ASCAP   ",12/03/2019,WORKS REGISTRATION,T3236155270,Reconciled
41011829,BANDGANG JAVAR FT SADA BABY HOW,W," ",VON CLASSIC,25.00,00782186121,"BMI     ",12/03/2019,WORKS REGISTRATION,T3236155270,Reconciled
41011829,BANDGANG JAVAR FT SADA BABY HOW,W," ",JONES MARK KENT II MR,25.00,00799159862,"BMI     ",12/03/2019,WORKS REGISTRATION,T3236155270,Reconciled
41011829,BANDGANG JAVAR FT SADA BABY HOW,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",12/03/2019,WORKS REGISTRATION,T3236155270,Reconciled
41160687,UNAPPRECIATED,P,O,SONGTRUST BLVD,50.00,00615755145,"BMI     ",12/19/2019,WORKS REGISTRATION,T9309852731,Reconciled
41160687,UNAPPRECIATED,P,O,EMPIRE STRIKES FIRST,25.00,00747866487,"BMI     ",12/19/2019,WORKS REGISTRATION,T9309852731,Reconciled
41160687,UNAPPRECIATED,P,O,TF ENTERTAINMENT,25.00,00832610267,"BMI     ",12/19/2019,WORKS REGISTRATION,T9309852731,Reconciled
41160687,UNAPPRECIATED,W," ",JOHNSON DARIUS AUSTIN MR,50.00,00758195203,"BMI     ",12/19/2019,WORKS REGISTRATION,T9309852731,Reconciled
41160687,UNAPPRECIATED,W," ",SORRELL CASADA AARON,25.00,00816076637,"BMI     ",12/19/2019,WORKS REGISTRATION,T9309852731,Reconciled
41160687,UNAPPRECIATED,W," ",SMITH MARC ANTHONY,25.00,00870605926,"BMI     ",12/19/2019,WORKS REGISTRATION,T9309852731,Reconciled
41274333,I REMEMBER,P,O,OUTTA REACH PUBLISHING,50.00,00675019338,"BMI     ",01/10/2020,WORKS REGISTRATION,T9311070878,Reconciled
41274333,I REMEMBER,P,O,EMPIRE STRIKES FIRST,25.00,00747866487,"BMI     ",01/10/2020,WORKS REGISTRATION,T9311070878,Reconciled
41274333,I REMEMBER,P,O,TF ENTERTAINMENT,25.00,00832610267,"BMI     ",01/10/2020,WORKS REGISTRATION,T9311070878,Reconciled
41274333,I REMEMBER,W," ",SORRELL CASADA AARON,25.00,00816076637,"BMI     ",01/10/2020,WORKS REGISTRATION,T9311070878,Reconciled
41274333,I REMEMBER,W," ",BURT JOHNATHAN,50.00,00819375411,"BMI     ",01/10/2020,WORKS REGISTRATION,T9311070878,Reconciled
41274333,I REMEMBER,W," ",WASHINGTON DENZEL THOMAS,25.00,00839001158,"BMI     ",01/10/2020,WORKS REGISTRATION,T9311070878,Reconciled
55131685,WAR ZONE,P,O,SONGTRUST BLVD,50.00,00615755145,"BMI     ",04/04/2022,WORKS REGISTRATION,T3100480175,Reconciled
55131685,WAR ZONE,P,O,EMPIRE STRIKES FIRST,25.00,00747866487,"BMI     ",04/04/2022,WORKS REGISTRATION,T3100480175,Reconciled
55131685,WAR ZONE,P,O,TF ENTERTAINMENT,25.00,00832610267,"BMI     ",04/04/2022,WORKS REGISTRATION,T3100480175,Reconciled
55131685,WAR ZONE,W," ",SORRELL CASADA AARON,25.00,00816076637,"BMI     ",04/04/2022,WORKS REGISTRATION,T3100480175,Reconciled
55131685,WAR ZONE,W," ",WASHINGTON DENZEL THOMAS,25.00,00839001158,"BMI     ",04/04/2022,WORKS REGISTRATION,T3100480175,Reconciled
55131685,WAR ZONE,W," ",RIVAS BERNABE PEREZ III,50.00,01018829357,"BMI     ",04/04/2022,WORKS REGISTRATION,T3100480175,Reconciled
61216104,LOS FLOW,P,O,UNKNOWN PUBLISHER,33.36,00288936892,"NA      ",10/25/2023,WORKS REGISTRATION,"           ",Reconciled
61216104,LOS FLOW,P,O,THESE ARE PULSE SONGS,8.32,00739600727,"BMI     ",10/25/2023,WORKS REGISTRATION,"           ",Reconciled
61216104,LOS FLOW,P,O,AUSGOD MUSIC,8.34,01181639642,"BMI     ",10/25/2023,WORKS REGISTRATION,"           ",Reconciled
61216104,LOS FLOW,W," ",ZAY2NICE,16.68,"           ","NA      ",10/25/2023,WORKS REGISTRATION,"           ",Reconciled
61216104,LOS FLOW,W," ",2300 WAV,16.68,"           ","NA      ",10/25/2023,WORKS REGISTRATION,"           ",Reconciled
61216104,LOS FLOW,W," ",SORRELL CASADA AARON,100.00,00816076637,"BMI     ",10/25/2023,WORKS REGISTRATION,"           ",Reconciled
61216104,LOS FLOW,W," ",VOLKENS AUSTIN,16.66,00387090044,"BMI     ",10/25/2023,WORKS REGISTRATION,"           ",Reconciled
61296692,INTERVENTION,P,O,SONGTRUST BLVD,50.00,00615755145,"BMI     ",10/23/2023,WORKS REGISTRATION,T3218728300,Reconciled
61296692,INTERVENTION,W," ",SORRELL CASADA AARON,100.00,00816076637,"BMI     ",10/23/2023,WORKS REGISTRATION,T3218728300,Reconciled
61296692,INTERVENTION,W," ",WHITE JOSHUA CAMRON (MR),50.00,00878203414,"BMI     ",10/23/2023,WORKS REGISTRATION,T3218728300,Reconciled
61378334,SADA WADA,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",11/10/2023,WORKS REGISTRATION,T3221027205,Reconciled
61378334,SADA WADA,W," ",JENKINS CRAIG,100.00,00544740745,"BMI     ",11/10/2023,WORKS REGISTRATION,T3221027205,Reconciled
61378334,SADA WADA,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",11/10/2023,WORKS REGISTRATION,T3221027205,Reconciled
61378345,SHRED BUDDY,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",11/07/2023,WORKS REGISTRATION,T3221027250,Reconciled
61378345,SHRED BUDDY,W," ",JENKINS CRAIG,100.00,00544740745,"BMI     ",11/07/2023,WORKS REGISTRATION,T3221027250,Reconciled
61378345,SHRED BUDDY,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",11/07/2023,WORKS REGISTRATION,T3221027250,Reconciled
61378347,LEAVE EM THERE,P,O,WARNER-TAMERLANE PUBLISHING CORP,12.50,00185314175,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,P,O,SONGS OF KOBALT MUSIC PUBLISHING,6.24,00401084411,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,P,O,LOMASTRO MUSIC PUBLISHING,0.00,01205921287,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,P,O,WALLIS WORLD MUSIC PUBLISHING,6.24,01217170487,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,W," ",AYALA STEVEN,25.00,"           ","NA      ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,W," ",GARCIA ERVIN JOVANY,25.00,00822056956,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,W," ",RAGLAND LESIDNEY CHEYENNE,12.50,00846672108,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378347,LEAVE EM THERE,W," ",LOMASTRO JACKSON PAUL (MR),12.50,01002964884,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378354,BOP STICK,W," ",WALTERS RICKY M L,80.00,00200223940,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378354,BOP STICK,P,O,SONY ATV SONGS LLC,30.00,00187095633,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378354,BOP STICK,W," ",CHERRY BRANDON,60.00,"           ","NA      ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378354,BOP STICK,W," ",SORRELL CASADA AARON,30.00,00816076637,"BMI     ",11/07/2023,WORKS REGISTRATION,"           ",Reconciled
61378355,PERFECT FROM SKUB,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",11/07/2023,WORKS REGISTRATION,T3221027169,Reconciled
61378355,PERFECT FROM SKUB,W," ",WOODS DEANDRE SAMUEL,100.00,00614097360,"BMI     ",11/07/2023,WORKS REGISTRATION,T3221027169,Reconciled
61378355,PERFECT FROM SKUB,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",11/07/2023,WORKS REGISTRATION,T3221027169,Reconciled
64029927,RACKS FT SADA BABY,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",10/25/2023,WORKS REGISTRATION,T3218372017,Reconciled
64029927,RACKS FT SADA BABY,W," ",SORRELL CASADA AARON,100.00,00816076637,"BMI     ",10/25/2023,WORKS REGISTRATION,T3218372017,Reconciled
64029927,RACKS FT SADA BABY,W," ",GRANT LAROBERT,100.00,00893981568,"BMI     ",10/25/2023,WORKS REGISTRATION,T3218372017,Reconciled
64127510,RUN IT UP,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",11/27/2023,WORKS REGISTRATION,T3224308736,Pending Society Review
64127510,RUN IT UP,W," ",JUAREZ JULIAN (MR) (SP ACCT),50.00,00374290549,"BMI     ",11/27/2023,WORKS REGISTRATION,T3224308736,Pending Society Review
64127510,RUN IT UP,W," ",SADABABY,50.00,00816076735,"BMI     ",11/27/2023,WORKS REGISTRATION,T3224308736,Pending Society Review
64127510,RUN IT UP,W," ",WALKER DAMARIA KAYSHAWN,50.00,00860827615,"BMI     ",11/27/2023,WORKS REGISTRATION,T3224308736,Pending Society Review
64127510,RUN IT UP,W," ",PEREZ JUNIOR JAIME MR,50.00,01157108471,"BMI     ",11/27/2023,WORKS REGISTRATION,T3224308736,Pending Society Review
64190583,VICE AVENUE,P,O,UNKNOWN PUBLISHER,90.00,00288936892,"NA      ",03/12/2024,WORKS REGISTRATION,"           ",Reconciled
64190583,VICE AVENUE,P,O,EMPIRE STRIKES FIRST,10.00,00747866487,"BMI     ",03/12/2024,WORKS REGISTRATION,"           ",Reconciled
64190583,VICE AVENUE,W," ",PRODUCER UNKNOWN,50.00,"           ","NA      ",03/12/2024,WORKS REGISTRATION,"           ",Reconciled
64190583,VICE AVENUE,P,O,JAMES JOHNSON IV PUB DESIGNEE,0.00,"           ","NA      ",03/12/2024,WORKS REGISTRATION,"           ",Reconciled
64190583,VICE AVENUE,W," ",BUHRIE TYLER JACK,30.00,"           ","NA      ",03/12/2024,WORKS REGISTRATION,"           ",Reconciled
64190583,VICE AVENUE,W," ",SORRELL CASADA AARON,10.00,00816076637,"BMI     ",03/12/2024,WORKS REGISTRATION,"           ",Reconciled
64190583,VICE AVENUE,W," ",JOHNSON JAMES IV,10.00,01158146161,"BMI     ",03/12/2024,WORKS REGISTRATION,"           ",Reconciled
64221560,KARRIED AWAY,P,O,UNKNOWN PUBLISHER,75.00,00288936892,"NA      ",11/24/2025,WORKS REGISTRATION,T3263815330,Reconciled
64221560,KARRIED AWAY,P,O,WARNER-TAMERLANE PUBLISHING CORP,25.00,00185314175,"BMI     ",11/24/2025,WORKS REGISTRATION,T3263815330,Reconciled
64221560,KARRIED AWAY,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",11/24/2025,WORKS REGISTRATION,T3263815330,Reconciled
64221560,KARRIED AWAY,W," ",BONSU MICHAEL KOFI (MR),25.00,00853983198,"BMI     ",11/24/2025,WORKS REGISTRATION,T3263815330,Reconciled
64221560,KARRIED AWAY,W," ",ADAMS RYAN PRESTON MR,25.00,00373781629,"BMI     ",11/24/2025,WORKS REGISTRATION,T3263815330,Reconciled
64493885,RUNNING UP A BAG,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",12/02/2023,WORKS REGISTRATION,T3225644708,Reconciled
64493885,RUNNING UP A BAG,W," ",ROBINSON CODY,20.00,00783472018,"ASCAP   ",12/02/2023,WORKS REGISTRATION,T3225644708,Reconciled
64493885,RUNNING UP A BAG,W," ",TAYLOR MARIO,80.00,00621194473,"BMI     ",12/02/2023,WORKS REGISTRATION,T3225644708,Reconciled
64493885,RUNNING UP A BAG,W," ",CALVIN THERONN ALAN RANDAL (MR),60.00,00621382277,"BMI     ",12/02/2023,WORKS REGISTRATION,T3225644708,Reconciled
64493885,RUNNING UP A BAG,W," ",SADABABY,20.00,00816076735,"BMI     ",12/02/2023,WORKS REGISTRATION,T3225644708,Reconciled
64493885,RUNNING UP A BAG,W," ",STRATTNER TIMO BERND MR,20.00,01167139939,"BMI     ",12/02/2023,WORKS REGISTRATION,T3225644708,Reconciled
64708348,APETOVEN,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",04/01/2024,WORKS REGISTRATION,T3245588670,Reconciled
64708348,APETOVEN,P,O,PAYDAY EMPIRE MUSIC,25.00,01295942900,"BMI     ",04/01/2024,WORKS REGISTRATION,T3245588670,Reconciled
64708348,APETOVEN,W," ",DOTSON XAVIER,50.00,00470108484,"BMI     ",04/01/2024,WORKS REGISTRATION,T3245588670,Reconciled
64708348,APETOVEN,P,O,ZAYTOVEN PUBLISHING,25.00,00568705708,"BMI     ",04/01/2024,WORKS REGISTRATION,T3245588670,Reconciled
64708348,APETOVEN,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",04/01/2024,WORKS REGISTRATION,T3245588670,Reconciled
64708368,KOMPLICATED,P,O,UNKNOWN PUBLISHER,50.00,00288936892,"NA      ",02/23/2024,WORKS REGISTRATION,"           ",Reconciled
64708368,KOMPLICATED,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",02/23/2024,WORKS REGISTRATION,"           ",Reconciled
64708368,KOMPLICATED,W," ",CLARK DEVAUGHN,50.00,"           ","NA      ",02/23/2024,WORKS REGISTRATION,"           ",Reconciled
64708368,KOMPLICATED,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",02/23/2024,WORKS REGISTRATION,"           ",Reconciled
64708374,ATTITUDINAL,P,O,UNKNOWN PUBLISHER,50.00,00288936892,"NA      ",02/14/2024,WORKS REGISTRATION,T3225542285,Reconciled
64708374,ATTITUDINAL,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",02/14/2024,WORKS REGISTRATION,T3225542285,Reconciled
64708374,ATTITUDINAL,W," ",WHITE JOSHUA WINSTON,50.00,00682760125,"PRS     ",02/14/2024,WORKS REGISTRATION,T3225542285,Reconciled
64708374,ATTITUDINAL,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",02/14/2024,WORKS REGISTRATION,T3225542285,Reconciled
64708380,US OR NOTHING,P,O,UNKNOWN PUBLISHER,50.00,00288936892,"NA      ",07/17/2025,WORKS REGISTRATION,T3225542296,Reconciled
64708380,US OR NOTHING,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",07/17/2025,WORKS REGISTRATION,T3225542296,Reconciled
64708380,US OR NOTHING,W," ",WHITE JOSHUA WINSTON,50.00,00682760125,"PRS     ",07/17/2025,WORKS REGISTRATION,T3225542296,Reconciled
64708380,US OR NOTHING,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",07/17/2025,WORKS REGISTRATION,T3225542296,Reconciled
64708385,KAMEHAMEHA,P,O,UNKNOWN PUBLISHER,50.00,00288936892,"NA      ",03/14/2024,WORKS REGISTRATION,"           ",Reconciled
64708385,KAMEHAMEHA,P,O,SONY ATV SONGS LLC,50.00,00187095633,"BMI     ",03/14/2024,WORKS REGISTRATION,"           ",Reconciled
64708385,KAMEHAMEHA,W," ",ROBERTSON THAREN,50.00,"           ","NA      ",03/14/2024,WORKS REGISTRATION,"           ",Reconciled
64708385,KAMEHAMEHA,W," ",SORRELL CASADA AARON,50.00,00816076637,"BMI     ",03/14/2024,WORKS REGISTRATION,"           ",Reconciled
64708393,NOVEMBER 35TH,P,O,UNKNOWN PUBLISHER,50.00,00288936892,"NA      ",03/19/2024,WORKS REGISTRATION,"           ",Reconciled
